Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0603,3,0.1uF,
C2,0603,1,4.7uF,
C4,0603,1,1uf,
D1,0805,1,LED_YELLOW,
D2,0805,1,LED_Green,
J1,JST_XH_S5B-XH-A-1_1x05_P2.50mm_Horizontal,1,Conn_01x05_Socket,
J2,PinHeader_2x07_P1.27mm_Vertical,1,Conn_ST_STDC14,
"J3, J4, J5",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,3,Conn_01x02_Socket,
J6,TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal,1,Conn_01x03_Pin,
R1,0603,1,120,
"R2, R3",0603,2,1k,
"R4, R5, R6, R7, R8",0805,5,10k,
SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_Wuerth_450301014042,
"SW2, SW3, SW4",SW_PUSH_6mm,3,SW_Push,
U1,XCVR_TCAN3414DRBR,1,TCAN3414DRBR,
U2,LQFP48_STM,1,STM32C092CBT6,
