Designator,Mid X,Mid Y,Rotation,Layer
C1,26.9205,22.794,0.0,bottom
C2,26.9205,24.318,0.0,bottom
C3,20.2864,27.8025,270.0,bottom
C4,18.8164,27.7975,270.0,bottom
C5,11.0,24.8625,90.0,bottom
D1,36.0,10.0,180.0,top
D2,29.9775,10.01,180.0,top
H1,2.5,47.5,0.0,top
H2,49.5,47.5,0.0,top
H3,2.5,2.5,0.0,top
H4,50.0,2.5,0.0,top
J1,30.0,42.15,180.0,top
J2,39.46,34.365,270.0,top
J3,44.15,15.0,90.0,top
J4,7.85,15.0,270.0,top
J5,14.0,42.15,180.0,top
J6,18.005,6.0425,180.0,top
R1,26.1639,17.018,0.0,bottom
R2,35.9975,10.03,180.0,bottom
R3,29.975,10.0,180.0,bottom
R4,27.6352,31.2674,0.0,bottom
R5,27.0987,26.162,180.0,bottom
R6,18.3661,25.1714,180.0,bottom
R7,27.1037,28.1178,180.0,bottom
R8,45.4152,34.2646,270.0,top
SW1,19.3802,19.558,90.0,top
SW2,36.83,23.078,0.0,top
SW3,36.75,4.25,0.0,top
SW4,6.0,25.0,180.0,top
U1,26.5,20.0,270.0,top
U2,26.2164,28.25,0.0,top
